Date,Price,global_m2,m2_daily_change,PositionRatio
2020-05-02,8977.28170537697,76178.54422560001,0.0,0.6
2020-05-03,8896.7956383986,76082.493528,-96.05069760000333,0.6
2020-05-04,8881.95430450029,75994.82365440001,-87.66987359999621,0.6
2020-05-05,8985.8795993571,75943.2333936,-51.59026080000331,0.6
2020-05-06,9266.8130730567,75862.0257424,-81.20765120000578,0.6
2020-05-07,9993.75317685564,75864.8147072,2.7889647999982117,1.0
2020-05-08,9859.32360461718,75865.11670720001,0.3020000000105938,1.0
2020-05-09,9577.33892238457,75865.11670720001,0.0,0.6
2020-05-10,8715.03329322034,75828.77320000001,-36.343507199999294,0.6
2020-05-11,8591.65288433665,75882.5474784,53.77427839998563,1.0
2020-05-12,8817.25068112215,75845.5019712,-37.045507199989515,0.6
2020-05-13,9322.99720204559,75763.0282352,-82.47373599999992,0.6
2020-05-14,9801.26948772647,75792.29602400001,29.267788800003473,1.0
2020-05-15,9326.87585891292,75791.27902400002,-1.0169999999925494,0.6
2020-05-16,9395.4753893045,75791.27902400002,0.0,0.6
2020-05-17,9682.5324811806,75918.48129920001,127.20227519999025,1.0
2020-05-18,9726.85002209235,75930.73514080001,12.253841600002488,1.0
2020-05-19,9754.20146201052,76003.9101552,73.17501439999614,1.0
2020-05-20,9515.702550263,75939.71666560002,-64.19348959998752,0.6
2020-05-21,9068.80122933957,75881.9445808,-57.77208480001718,0.6
2020-05-22,9161.81503389831,75881.9465808,0.001999999993131496,1.0
2020-05-23,9183.66212507305,75881.9465808,0.0,0.6
2020-05-24,8806.23065715956,75879.350616,-2.59596479999891,0.6
2020-05-25,8909.19258153127,75990.97710240001,111.62648640001134,1.0
2020-05-26,8835.13725336061,76026.0226272,35.04552479999256,1.0
2020-05-27,9169.05743921683,75993.87943040002,-32.143196799981524,0.6
2020-05-28,9568.26185300994,76029.35700800002,35.477577600002405,1.0
2020-05-29,9432.41333343074,76028.03200800002,-1.3249999999970896,0.6
2020-05-30,9691.68049117475,76028.03200800002,0.0,0.6
2020-05-31,9433.94384663939,77466.6671936,1438.635185599982,1.0
2020-06-01,10199.1350542373,77513.9864391,47.319245499995304,1.0
2020-06-02,9512.34653302163,77596.0772023,82.09076320000167,1.0
2020-06-03,9642.27340035067,77609.09969619999,13.022493899989058,1.0
2020-06-04,9813.36067913501,77549.97723769999,-59.12245850000181,0.6
2020-06-05,9641.8916225599,77549.97723769999,0.0,0.6
2020-06-06,9668.67053857393,77549.97723769999,0.0,0.6
2020-06-07,9747.58011104617,77553.91960159999,3.94236390000151,1.0
2020-06-08,9769.34236148451,77613.05506009998,59.13545849999355,1.0
2020-06-09,9779.42216566335,77655.169063,42.11400290000893,1.0
2020-06-10,9888.44417469316,77487.4290868,-167.73997619999864,0.6
2020-06-11,9277.45116931619,77425.3023857,-62.12670110000181,0.6
2020-06-12,9456.16153331385,77425.6773857,0.375,1.0
2020-06-13,9461.33379865576,77425.6773857,0.0,0.6
2020-06-14,9342.955635301,77520.29411929999,94.61673359999259,1.0
2020-06-15,9441.38321127995,77441.44384129999,-78.85027799999807,0.6
2020-06-16,9520.09194827586,77411.1644153,-30.27942599999369,0.6
2020-06-17,9448.69356060783,77310.93480589999,-100.22960940000485,0.6
2020-06-18,9389.99076639392,77274.13940949999,-36.79539640000439,0.6
2020-06-19,9285.99158293396,77274.13940949999,0.0,0.6
2020-06-20,9357.29246446522,77274.13940949999,0.0,0.6
2020-06-21,9284.76937182934,77380.58323479998,106.44382529999712,1.0
2020-06-22,9684.62018474576,77447.5944211,67.0111863000202,1.0
2020-06-23,9611.72599824664,77370.06026439999,-77.53415670001414,0.6
2020-06-24,9292.94354354179,77263.61226149999,-106.44800289999694,0.6
2020-06-25,9247.12143249561,77263.61226149999,0.0,0.6
2020-06-26,9159.43777206312,77263.4132615,-0.1989999999932479,0.6
2020-06-27,9002.16561718293,77263.4132615,0.0,0.6
2020-06-28,9108.06567457627,77296.266294,32.85303250000288,1.0
2020-06-29,9184.24736627703,77284.38920230001,-11.877091699992889,0.6
2020-06-30,9143.96758530099,78546.52440580001,1262.1352035000018,1.0
2020-07-01,9241.33961239041,78497.92850500002,-48.595900799991796,0.6
2020-07-02,9094.38728679135,78504.541297,6.6127919999853475,1.0
2020-07-03,9066.69069661017,78504.541297,0.0,0.6
2020-07-04,9126.21955493863,78504.541297,0.0,0.6
2020-07-05,9079.61401808884,78590.481593,85.94029600000067,1.0
2020-07-06,9338.94259117475,78542.8838906,-47.59770240000216,0.6
2020-07-07,9252.15873261251,78618.24391940002,75.36002880001615,1.0
2020-07-08,9434.56795645821,78563.2707914,-54.973128000012366,0.6
2020-07-09,9231.50234751607,78581.782009,18.5112175999966,1.0
2020-07-10,9285.22101542957,78581.782009,0.0,0.6
2020-07-11,9237.17100818235,78581.782009,0.0,0.6
2020-07-12,9289.09797691408,78639.9569786,58.17496960000426,1.0
2020-07-13,9236.62250116891,78715.3190074,75.36202879999473,1.0
2020-07-14,9260.3569868498,78731.1849082,15.86590079999587,1.0
2020-07-15,9196.72555897136,78691.94247299999,-39.24243520000891,0.6
2020-07-16,9132.59231209818,78748.7952842,56.85281120000582,1.0
2020-07-17,9156.46870976037,78748.7962842,0.0010000000038417056,1.0
2020-07-18,9175.90530859147,78748.7962842,0.0,0.6
2020-07-19,9218.84231081239,78775.2394522,26.443167999997968,1.0
2020-07-20,9167.19056750439,78881.0091242,105.76967200000945,1.0
2020-07-21,9388.57434979544,78937.8649354,56.85581119998824,1.0
