,Date,Price,global_m2,m2_daily_change,PositionRatio,global_m2_change,next_day_price_change
3717,2023-07-06,29979.7298094681,91034.4435608,129.00737860002846,1.0,0.0014191382167889621,0.011679663940423968
3718,2023-07-07,30329.8829786674,91066.3965608,31.952999999994063,1.0,0.00035099901477009254,-0.0021847543751456477
3719,2023-07-08,30263.6196341321,91066.3965608,0.0,1.0,0.0,-0.0033174676045382157
3720,2023-07-09,30163.2210563998,91114.6884584,48.29189760000736,1.0,0.0005302932741799715,0.007672739056019839
3721,2023-07-10,30394.6555806546,91137.0834328,22.39497439999832,1.0,0.00024578884896508946,0.007290476210674468
3722,2023-07-11,30616.247094097,91358.89041419998,221.80698139997548,1.0,0.0024337730926349277,-0.007533199878314689
3723,2023-07-12,30385.6087852133,91357.5018634,-1.388550799980294,1.0,-1.5198857973075519e-05,0.03452709118608621
3724,2023-07-13,31434.7354704851,91411.7249852,54.22312179999426,1.0,0.0005935267569057157,-0.03575864193559419
3725,2023-07-14,30310.6720204559,91438.3799852,26.65499999999884,1.0,0.0002915927907969351,-0.0006526224358255339
3726,2023-07-15,30290.8905958504,91438.3799852,0.0,1.0,0.0,-0.0013574255900726806
3727,2023-07-16,30249.7729658095,91457.9985686,19.618583400006173,1.0,0.00021455523821822808,-0.0035050408982718606
3728,2023-07-17,30143.7462744009,91452.344107,-5.654461600002833,1.0,-6.182577454683091e-05,-0.010217670489290231
3729,2023-07-18,29835.7474076563,91426.076062,-26.26804500000435,1.0,-0.00028723205792591244,0.002590250410970718
3730,2023-07-19,29913.0294646406,91283.1701706,-142.90589139999065,1.0,-0.001563075848328821,-0.003591174008258924
3731,2023-07-20,29805.6065707189,91288.9366834,5.766512799993507,1.0,6.317169735914341e-05,0.0038277000375854797
3732,2023-07-21,29919.6934921099,91239.1856834,-49.75099999998929,1.0,-0.0005449838918875072,-0.00647345752530426
3733,2023-07-22,29726.0096271186,91239.1856834,0.0,1.0,0.0,0.011456728482204692
3734,2023-07-23,30066.5724482759,91147.1292536,-92.05642980000994,1.0,-0.0010089571614486648,-0.02954153638687651
3735,2023-07-24,29178.3597042665,91131.9230356,-15.206217999992075,1.0,-0.00016683156260122178,0.001470101454312811
3736,2023-07-25,29221.2548533022,91228.8568114,96.93377579998923,1.0,0.0010636643293713277,0.00480256256750522
